MeanReturn, Timesteps, Time, StdReturn, MaxReturn, MinReturn, EpLenMean, EpLenStd, Exploration
119.4310738775483, 160000, 09/06/2019 20:40:18, 141.25960754914988, 302.66080735101195, -191.86534947005288, 531.42, 307.4224513596884, 0.02
127.43001990161052, 170000, 09/06/2019 20:41:14, 140.75247169246714, 302.66080735101195, -187.80146246771875, 536.38, 310.5782922227502, 0.02
147.54506890285623, 180000, 09/06/2019 20:42:14, 132.14754720576707, 302.66080735101195, -187.80146246771875, 552.59, 312.7771761174399, 0.02
158.54135859056714, 190000, 09/06/2019 20:43:20, 123.68516346556355, 302.66080735101195, -187.80146246771875, 567.62, 319.21224224644016, 0.02
149.0804325512996, 200000, 09/06/2019 20:44:23, 129.95817183378298, 302.1263538685837, -214.53349357732736, 570.35, 326.3832218420548, 0.02
154.4488463485194, 210000, 09/06/2019 20:45:20, 124.38731837539173, 302.1263538685837, -214.53349357732736, 572.49, 319.6940567167303, 0.02
173.25071201151758, 220000, 09/06/2019 20:46:33, 119.4454414782082, 302.1263538685837, -214.53349357732736, 519.09, 307.15921262433267, 0.02
201.62591101653797, 230000, 09/06/2019 20:47:27, 102.57797121818079, 302.47225349555015, -214.53349357732736, 439.02, 273.1924589003145, 0.02
228.24359990129145, 240000, 09/06/2019 20:48:20, 76.7985086592156, 305.12284063444224, -61.51724789587895, 376.52, 201.89242085823827, 0.02
235.528318044782, 250000, 09/06/2019 20:49:12, 73.62733556270535, 311.7532377256638, -92.4342720797725, 365.51, 178.32826444509575, 0.02
237.2068629377686, 260000, 09/06/2019 20:50:05, 80.38913237638504, 311.7532377256638, -92.4342720797725, 354.1, 191.859505889075, 0.02
244.18867997104198, 270000, 09/06/2019 20:50:58, 77.74697317106589, 311.7532377256638, -92.4342720797725, 326.71, 176.62940270521213, 0.02
247.3098668726378, 280000, 09/06/2019 20:51:53, 66.97834094001759, 311.7532377256638, -22.69300623812123, 332.84, 188.74505132585597, 0.02
250.12159014148932, 290000, 09/06/2019 20:52:49, 66.84247126143757, 300.0099357149069, -182.1630335886528, 309.37, 159.10774054080463, 0.02
252.26244783717007, 300000, 09/06/2019 20:53:39, 56.80816280670192, 300.0099357149069, -182.1630335886528, 306.59, 161.5923324294813, 0.02
251.73011273668178, 310000, 09/06/2019 20:54:26, 57.623036337949216, 300.0099357149069, -182.1630335886528, 299.58, 164.18301861033012, 0.02
247.05195195124708, 320000, 09/06/2019 20:55:17, 55.891065612754616, 312.9255623999693, -44.31588139139451, 292.53, 160.2239966422009, 0.02
241.7850492342645, 330000, 09/06/2019 20:56:02, 59.88640093889947, 312.9255623999693, -44.31588139139451, 320.12, 192.27346566804272, 0.02
238.62101024889589, 340000, 09/06/2019 20:56:51, 75.51206825344757, 312.9255623999693, -158.75713153862011, 321.17, 189.35575275126973, 0.02
233.86038030774085, 350000, 09/06/2019 20:57:52, 88.25483616712876, 312.9255623999693, -307.97825414290446, 366.74, 245.14222892027394, 0.02
231.82388203993295, 360000, 09/06/2019 20:58:42, 119.56154049775655, 310.672493600887, -596.7111671556181, 342.09, 228.3654568887335, 0.02
220.90774192248807, 370000, 09/06/2019 20:59:30, 145.10384875722968, 314.93299023084876, -596.7111671556181, 332.78, 227.43142175170078, 0.02
227.76897650784676, 380000, 09/06/2019 21:00:31, 132.96762325666427, 314.93299023084876, -596.7111671556181, 306.01, 195.84384059755365, 0.02
235.18431736627514, 390000, 09/06/2019 21:01:20, 103.7317371479353, 314.93299023084876, -363.97234710855884, 308.09, 198.10406835802237, 0.02
246.13098636232368, 400000, 09/06/2019 21:02:13, 71.14300084389954, 314.2585048093846, -94.65151198315924, 304.43, 207.47266109056392, 0.02
245.75114721252805, 410000, 09/06/2019 21:03:09, 79.74057883427145, 314.2585048093846, -191.295244127945, 290.92, 179.46646929162003, 0.02
253.19434451313958, 420000, 09/06/2019 21:03:59, 71.60535009873576, 310.91004470538365, -191.295244127945, 270.87, 132.91069595784984, 0.02
254.98963204954183, 430000, 09/06/2019 21:04:40, 74.01717905299098, 323.7241860019058, -191.295244127945, 282.68, 130.44438508421894, 0.02
