MeanReturn, Timesteps, Time, StdReturn, MaxReturn, MinReturn, EpLenMean, EpLenStd, Exploration
-18.36, 650000, 15/06/2019 02:31:15, 1.8358649187780673, -11.0, -21.0, 5973.7, 1083.010521647874, 0.4149999999999999
-18.34, 660000, 15/06/2019 03:13:53, 1.8612898753283968, -11.0, -21.0, 6092.24, 1086.0529187843472, 0.4059999999999999
-18.2, 670000, 15/06/2019 03:51:49, 1.8867962264113207, -11.0, -21.0, 6230.55, 1114.0603159165125, 0.3969999999999999
-18.13, 680000, 15/06/2019 04:25:40, 1.858251866674698, -11.0, -21.0, 6362.21, 1099.7392445029868, 0.3879999999999999
-17.97, 690000, 15/06/2019 04:57:03, 1.9154894935759894, -11.0, -21.0, 6494.36, 1081.051548447159, 0.379
-17.88, 700000, 15/06/2019 05:24:29, 1.8935680605671403, -11.0, -21.0, 6588.22, 1052.9203633703737, 0.37
-17.72, 710000, 15/06/2019 05:55:44, 1.9239542614105982, -11.0, -21.0, 6714.78, 1035.5973115067459, 0.361
-17.6, 720000, 15/06/2019 06:27:22, 1.96468827043885, -11.0, -21.0, 6834.66, 1024.6835142618427, 0.352
-17.67, 730000, 15/06/2019 06:58:57, 1.980176759786863, -11.0, -21.0, 6900.19, 1035.4874474854826, 0.34299999999999997
-17.56, 740000, 15/06/2019 07:30:33, 2.0214846029589246, -11.0, -21.0, 6995.76, 1052.6484989776977, 0.33399999999999996
-17.5, 750000, 15/06/2019 08:02:33, 2.0322401432901573, -11.0, -21.0, 7109.19, 1037.350853809838, 0.32499999999999996
-17.5, 760000, 15/06/2019 08:34:26, 2.0518284528683193, -11.0, -21.0, 7193.83, 1092.3651226123984, 0.31599999999999995
-17.34, 770000, 15/06/2019 09:05:59, 2.1034257771549725, -11.0, -21.0, 7312.68, 1129.8213742003645, 0.30699999999999994
-17.23, 780000, 15/06/2019 09:38:49, 2.212939221939907, -11.0, -21.0, 7403.16, 1154.2800849014072, 0.29799999999999993
-17.19, 790000, 15/06/2019 10:10:57, 2.203156826011258, -11.0, -21.0, 7478.55, 1181.528318534939, 0.2889999999999999
-16.97, 800000, 15/06/2019 10:42:56, 2.2425654951416694, -11.0, -21.0, 7604.18, 1184.0033140156324, 0.2799999999999999
-17.01, 810000, 15/06/2019 11:14:34, 2.1609951411328994, -11.0, -21.0, 7640.23, 1164.2101601944557, 0.2709999999999999
-16.9, 820000, 15/06/2019 11:48:29, 2.32163735324878, -9.0, -21.0, 7739.02, 1187.2228601235743, 0.262
-16.74, 830000, 15/06/2019 12:22:45, 2.309198995322837, -9.0, -21.0, 7842.5, 1175.4706078843485, 0.253
-16.69, 840000, 15/06/2019 12:56:55, 2.2480880765663964, -9.0, -21.0, 7881.08, 1151.98632526606, 0.244
-16.56, 850000, 15/06/2019 13:31:38, 2.3208619088605853, -9.0, -21.0, 7988.92, 1230.7634108958555, 0.235
-16.33, 860000, 15/06/2019 14:06:46, 2.457864927126794, -9.0, -21.0, 8101.75, 1296.7470098288254, 0.22599999999999998
-16.29, 870000, 15/06/2019 14:40:37, 2.4588411904797756, -9.0, -21.0, 8114.57, 1309.1284983148141, 0.21699999999999997
-16.16, 880000, 15/06/2019 15:12:59, 2.4767720928660353, -9.0, -21.0, 8201.51, 1306.3640112541373, 0.20799999999999996
-16.0, 890000, 15/06/2019 15:45:22, 2.5612496949731396, -9.0, -21.0, 8291.45, 1360.9228734575668, 0.19899999999999995
-16.04, 900000, 15/06/2019 16:18:03, 2.568735097280372, -9.0, -21.0, 8293.48, 1356.6661304831046, 0.18999999999999995
-15.88, 910000, 15/06/2019 16:50:54, 2.620228997625971, -9.0, -21.0, 8383.81, 1341.9637230193669, 0.18099999999999994
-15.79, 920000, 15/06/2019 17:22:39, 2.624099845661365, -9.0, -21.0, 8421.05, 1328.0064636514387, 0.17199999999999993
-15.75, 930000, 15/06/2019 17:53:11, 2.6052830940226053, -9.0, -21.0, 8447.02, 1316.008525656274, 0.16299999999999992
-15.59, 940000, 15/06/2019 18:20:15, 2.6498867900346235, -8.0, -20.0, 8526.21, 1324.033967049184, 0.15400000000000003
-15.4, 950000, 15/06/2019 18:46:11, 2.6457513110645907, -8.0, -20.0, 8585.56, 1309.0082759096674, 0.14500000000000002
-15.32, 960000, 15/06/2019 19:12:17, 2.649075310367752, -8.0, -20.0, 8622.73, 1291.5007538131752, 0.136
-15.2, 970000, 15/06/2019 19:40:02, 2.545584412271571, -8.0, -20.0, 8667.06, 1236.8823373304351, 0.127
-15.03, 980000, 15/06/2019 20:14:48, 2.681249708624693, -8.0, -20.0, 8717.42, 1311.8820921104152, 0.118
-14.96, 990000, 15/06/2019 20:55:20, 2.7199999999999998, -8.0, -20.0, 8776.04, 1322.9970515462232, 0.10899999999999999
-14.84, 1000000, 15/06/2019 21:35:15, 2.755793896502422, -8.0, -20.0, 8828.97, 1342.3761950734972, 0.1
-14.75, 1010000, 15/06/2019 22:18:15, 2.7179955849853767, -8.0, -19.0, 8870.27, 1316.5519196370494, 0.09993750000000001
-14.57, 1020000, 15/06/2019 23:02:11, 3.1313096301707373, 1.0, -19.0, 8962.12, 1442.3844236541104, 0.099875
-14.51, 1030000, 15/06/2019 23:47:22, 3.1288815893222934, 1.0, -19.0, 9024.37, 1478.3466417251402, 0.09981250000000001
-14.24, 1040000, 16/06/2019 00:18:45, 3.2775600680994392, 1.0, -19.0, 9158.15, 1609.1350432763559, 0.09975
-14.03, 1050000, 16/06/2019 00:37:17, 3.450956389176774, 1.0, -19.0, 9276.37, 1685.99196709237, 0.09968750000000001
-13.83, 1060000, 16/06/2019 00:50:01, 3.5945931619586657, 1.0, -19.0, 9348.41, 1694.0997614957623, 0.099625
-13.55, 1070000, 16/06/2019 01:02:31, 3.832427429188973, 1.0, -19.0, 9473.53, 1799.17405191938, 0.09956250000000001
-13.27, 1080000, 16/06/2019 01:15:03, 3.8906426204420264, 1.0, -19.0, 9610.62, 1805.7289374654215, 0.0995
-13.07, 1090000, 16/06/2019 01:27:40, 4.212493323436846, 2.0, -19.0, 9692.09, 1936.0670189587963, 0.09943750000000001
-12.85, 1100000, 16/06/2019 01:40:32, 4.224630161327735, 2.0, -19.0, 9792.2, 1946.2741739025364, 0.099375
-12.67, 1110000, 16/06/2019 01:53:12, 4.238053798620306, 2.0, -19.0, 9877.79, 1926.036636697236, 0.09931250000000001
-12.48, 1120000, 16/06/2019 02:06:29, 4.234335839302311, 2.0, -19.0, 9983.49, 1882.014561553656, 0.09925
-12.17, 1130000, 16/06/2019 02:18:43, 4.377339374551624, 2.0, -19.0, 10091.02, 1925.888246913616, 0.09918750000000001
-11.92, 1140000, 16/06/2019 02:30:55, 4.542422261305085, 2.0, -19.0, 10210.06, 1969.4002783588714, 0.099125
-11.65, 1150000, 16/06/2019 02:43:13, 4.775719841029203, 2.0, -19.0, 10329.8, 2077.4124578426886, 0.09906250000000001
-11.17, 1160000, 16/06/2019 02:56:02, 5.114792273396839, 4.0, -19.0, 10497.58, 2064.159922002169, 0.099
-10.96, 1170000, 16/06/2019 03:08:18, 5.021792508656644, 4.0, -19.0, 10613.28, 2024.7998127222354, 0.09893750000000001
-10.71, 1180000, 16/06/2019 03:20:20, 4.994587070018902, 4.0, -19.0, 10724.69, 2011.8093781220925, 0.098875
-10.5, 1190000, 16/06/2019 03:32:36, 5.048762224545735, 4.0, -19.0, 10842.9, 2027.509667054636, 0.09881250000000001
-10.29, 1200000, 16/06/2019 03:44:52, 5.0304969933397246, 4.0, -19.0, 11005.9, 2034.3631607950435, 0.09875
